choice_rank,mixed_rank,partition_id,nll,delta_nll_vs_native_h16,merged_boundaries,routing_groups,segment_widths
393,392,0__1-2__3-4__5__6__7-8__9__10__11__12__13-14__15,5.215409531038644,0.8494909329381741,"[1, 3, 7, 13]",12,"[80, 160, 160, 80, 80, 160, 80, 80, 80, 80, 160, 80]"
394,393,0__1-2__3__4-5__6__7__8__9-10__11__12-13__14__15,5.216116915933082,0.8501983178326116,"[1, 4, 9, 12]",12,"[80, 160, 80, 160, 80, 80, 80, 160, 80, 160, 80, 80]"
395,394,0__1__2__3-4__5__6__7-8__9-10__11__12-13__14__15,5.216416007495929,0.8504974093954587,"[3, 7, 9, 12]",12,"[80, 80, 80, 160, 80, 80, 160, 160, 80, 160, 80, 80]"
396,395,0-1__2__3__4__5__6__7-8__9__10__11-12__13-14__15,5.217061204994179,0.8511426068937089,"[0, 7, 11, 13]",12,"[160, 80, 80, 80, 80, 80, 160, 80, 80, 160, 160, 80]"
397,396,0__1__2__3__4-5__6__7__8-9__10__11-12__13__14-15,5.2171886692065765,0.8512700711061063,"[4, 8, 11, 14]",12,"[80, 80, 80, 80, 160, 80, 80, 160, 80, 160, 80, 160]"
398,397,0__1__2-3__4-5__6__7-8__9__10__11__12-13__14__15,5.2197666088973085,0.8538480107968383,"[2, 4, 7, 12]",12,"[80, 80, 160, 160, 80, 160, 80, 80, 80, 160, 80, 80]"
399,398,0__1-2__3__4__5__6__7-8__9-10__11-12__13__14__15,5.219985519569524,0.8540669214690535,"[1, 7, 9, 11]",12,"[80, 160, 80, 80, 80, 80, 160, 160, 160, 80, 80, 80]"
400,399,0-1__2-3__4__5__6__7__8__9-10__11__12-13__14__15,5.220051713236849,0.8541331151363787,"[0, 2, 9, 12]",12,"[160, 160, 80, 80, 80, 80, 80, 160, 80, 160, 80, 80]"
401,400,0-1__2-3__4__5__6__7__8__9__10-11__12__13-14__15,5.220250382800955,0.8543317847004852,"[0, 2, 10, 13]",12,"[160, 160, 80, 80, 80, 80, 80, 80, 160, 80, 160, 80]"
402,401,0-1__2-3__4__5__6__7__8__9__10__11-12__13-14__15,5.220528399839429,0.8546098017389587,"[0, 2, 11, 13]",12,"[160, 160, 80, 80, 80, 80, 80, 80, 80, 160, 160, 80]"
403,402,0__1-2__3__4__5__6__7-8__9-10__11__12-13__14__15,5.222672569670169,0.8567539715696988,"[1, 7, 9, 12]",12,"[80, 160, 80, 80, 80, 80, 160, 160, 80, 160, 80, 80]"
404,403,0-1__2__3__4-5__6__7__8__9-10__11__12__13__14-15,5.222760565003575,0.8568419669031044,"[0, 4, 9, 14]",12,"[160, 80, 80, 160, 80, 80, 80, 160, 80, 80, 80, 160]"
405,404,0__1-2__3__4-5__6__7__8__9-10__11__12__13__14-15,5.2227890069650185,0.8568704088645482,"[1, 4, 9, 14]",12,"[80, 160, 80, 160, 80, 80, 80, 160, 80, 80, 80, 160]"
406,405,0__1-2__3-4__5__6__7-8__9-10__11__12__13__14__15,5.223233018336291,0.8573144202358209,"[1, 3, 7, 9]",12,"[80, 160, 160, 80, 80, 160, 160, 80, 80, 80, 80, 80]"
407,406,0__1-2__3__4-5__6__7-8__9__10__11__12__13-14__15,5.225019136132383,0.859100538031913,"[1, 4, 7, 13]",12,"[80, 160, 80, 160, 80, 160, 80, 80, 80, 80, 160, 80]"
